French,English
partie,part
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
premier,first
perdu,lost
main,hand
pouvoir,power
vieux,old
matin,morning
tellement,so much
pardon,sorry
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
espère,hope
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
aura,will have
filles,girls
jouer,to play
bureau,office
